camera,ImagePath,badImage,motion,grayscale
GBU1,2017_GBU1_04210684,False,False,False
GBU1,2017_GBU1_05280566,False,False,True
GBU1,2017_GBU1_05250001,False,True,False
GBU1,2017_GBU1_05290127,False,True,True
GBU1,2017_GBU1_04260225,False,False,False
GBU1,2017_GBU1_05100229,False,True,True
GBU1,2017_GBU1_04200631,False,False,False
GBU1,2017_GBU1_04230896,False,False,False
GBU1,2017_GBU1_02180900,False,False,False
GBU1,2017_GBU1_05030003,False,False,False
GBU1,2017_GBU1_02220345,False,False,True
GBU1,2017_GBU1_04060235,False,False,False
GBU1,2017_GBU1_05250025,False,True,False
GBU1,2017_GBU1_07070859,False,False,False
GBU1,2017_GBU1_03180213,False,False,False
GBU1,2017_GBU1_05030957,False,False,False
GBU1,2017_GBU1_02170847,False,False,True
GBU1,2017_GBU1_03110328,False,False,False
GBU1,2017_GBU1_04170365,False,False,True
GBU1,2017_GBU1_07170298,False,False,True
GBU1,2017_GBU1_05120872,False,False,False
GBU1,2017_GBU1_05100063,False,True,False
GBU1,2017_GBU1_03080997,False,False,False
GBU1,2017_GBU1_04150104,False,False,False
GBU1,2017_GBU1_07140916,False,True,True
GBU1,2017_GBU1_04100668,False,False,True
GBU1,2017_GBU1_04300598,False,True,False
GBU1,2017_GBU1_03270120,False,False,True
GBU1,2017_GBU1_03070932,False,False,True
GBU1,2017_GBU1_03170138,False,False,True
GBU1,2017_GBU1_02210241,False,False,True
GBU1,2017_GBU1_05060494,False,True,False
GBU1,2017_GBU1_07010941,False,False,False
GBU1,2017_GBU1_03270172,False,False,False
GBU1,2017_GBU1_05250892,False,True,False
GBU1,2017_GBU1_03030234,False,False,False
GBU1,2017_GBU1_05290091,False,True,True
GBU1,2017_GBU1_04090486,False,False,True
GBU1,2017_GBU1_02280999,False,False,True
GBU1,2017_GBU1_05050208,False,True,False
GBU1,2017_GBU1_05110437,False,True,False
GBU1,2017_GBU1_05250912,False,True,False
GBU1,2017_GBU1_05220201,False,True,False
GBU1,2017_GBU1_03140644,False,False,False
GBU1,2017_GBU1_04200643,False,False,True
GBU1,2017_GBU1_05120778,False,False,True
GBU1,2017_GBU1_05060570,False,False,True
GBU1,2017_GBU1_04170349,False,False,True
GBU1,2017_GBU1_07160275,False,False,True
GBU1,2017_GBU1_05200687,False,True,False
GBU1,2017_GBU1_02080952,False,False,True
GBU1,2017_GBU1_04260245,False,False,True
GBU1,2017_GBU1_05170730,False,False,True
GBU1,2017_GBU1_05230421,False,False,False
GBU1,2017_GBU1_03290384,False,False,False
GBU1,2017_GBU1_05220216,False,False,True
GBU1,2017_GBU1_05310722,False,False,True
GBU1,2017_GBU1_05290106,False,True,True
GBU1,2017_GBU1_03230662,False,False,True
GBU1,2017_GBU1_04080413,False,False,False
GBU1,2017_GBU1_06020207,False,True,False
GBU1,2017_GBU1_05230267,False,True,False
GBU1,2017_GBU1_05100041,False,False,False
GBU1,2017_GBU1_07130799,False,False,False
GBU1,2017_GBU1_05180971,False,True,True
GBU1,2017_GBU1_03010021,False,False,True
GBU1,2017_GBU1_05180336,False,True,True
GBU1,2017_GBU1_02270842,False,True,True
GBU1,2017_GBU1_05060535,False,True,False
GBU1,2017_GBU1_05050222,False,False,False
GBU1,2017_GBU1_04150111,False,False,False
GBU1,2017_GBU1_05060329,False,True,True
GBU1,2017_GBU1_04150132,False,False,False
GBU1,2017_GBU1_03240807,False,False,True
GBU1,2017_GBU1_02110212,False,False,False
GBU1,2017_GBU1_04140973,False,False,True
GBU1,2017_GBU1_05250854,False,False,False
GBU1,2017_GBU1_02250566,False,False,True
GBU1,2017_GBU1_05240635,False,True,False
GBU1,2017_GBU1_04220765,False,False,True
GBU1,2017_GBU1_05240504,False,False,True
GBU1,2017_GBU1_04140006,False,False,False
GBU1,2017_GBU1_03150776,False,False,True
GBU1,2017_GBU1_05300380,False,True,True
GBU1,2017_GBU1_07080953,False,False,True
GBU1,2017_GBU1_03240853,False,False,False
GBU1,2017_GBU1_04040998,False,False,True
GBU1,2017_GBU1_04050094,False,False,True
GBU1,2017_GBU1_03070866,False,False,True
GBU1,2017_GBU1_05220075,False,True,False
GBU1,2017_GBU1_02010079,False,False,False
GBU1,2017_GBU1_05190548,False,True,False
GBU1,2017_GBU1_02240455,False,False,True
GBU1,2017_GBU1_05280662,False,True,False
GBU1,2017_GBU1_07060614,False,True,False
GBU1,2017_GBU1_05050243,False,False,False
GBU1,2017_GBU1_03010057,False,False,False
GBU1,2017_GBU1_05260076,False,False,True
GBU1,2017_GBU1_03080030,False,False,True
GBU1,2017_GBU1_07080968,False,False,True
GBU1,2017_GBU1_05110582,False,False,False
GBU1,2017_GBU1_05120895,False,False,False
GBU1,2017_GBU1_02020333,False,True,True
GBU1,2017_GBU1_05020900,False,False,False
GBU1,2017_GBU1_03160037,False,False,True
GBU1,2017_GBU1_05280715,False,True,False
GBU1,2017_GBU1_05090007,False,False,True
GBU1,2017_GBU1_05210939,False,True,False
GBU1,2017_GBU1_02170782,False,False,True
GBU1,2017_GBU1_05080849,False,False,True
GBU1,2017_GBU1_05050218,False,False,False
GBU1,2017_GBU1_05220045,False,True,False
GBU1,2017_GBU1_02140542,False,False,False
GBU1,2017_GBU1_06010881,False,True,False
GBU1,2017_GBU1_06030481,False,True,False
GBU1,2017_GBU1_05280753,False,True,False
GBU1,2017_GBU1_07080021,False,True,False
GBU1,2017_GBU1_05180290,False,False,True
GBU1,2017_GBU1_03170151,False,False,True
GBU1,2017_GBU1_02200087,False,False,True
GBU1,2017_GBU1_05110638,False,True,False
GBU1,2017_GBU1_05190561,False,False,False
GBU1,2017_GBU1_05150333,False,True,False
GBU1,2017_GBU1_04040058,False,False,False
GBU1,2017_GBU1_02280961,False,False,False
GBU1,2017_GBU1_04270317,False,False,False
GBU1,2017_GBU1_05120860,False,False,False
GBU1,2017_GBU1_03230653,False,False,True
GBU1,2017_GBU1_02070778,False,False,True
GBU1,2017_GBU1_03260052,False,False,False
GBU1,2017_GBU1_03200417,False,False,False
GBU1,2017_GBU1_05180024,False,True,False
GBU1,2017_GBU1_02030444,False,False,True
GBU1,2017_GBU1_04300673,False,False,True
GBU1,2017_GBU1_05310608,False,True,False
GBU1,2017_GBU1_05240509,False,False,False
GBU1,2017_GBU1_02250592,False,False,False
GBU1,2017_GBU1_02130427,False,False,False
GBU1,2017_GBU1_07090338,False,True,True
GBU1,2017_GBU1_06040582,False,True,True
GBU1,2017_GBU1_02140497,False,False,True
GBU1,2017_GBU1_05270451,False,True,False
GBU1,2017_GBU1_05130024,False,True,False
GBU1,2017_GBU1_05200628,False,False,False
GBU1,2017_GBU1_05290847,False,False,True
GBU1,2017_GBU1_05090973,False,False,False
GBU1,2017_GBU1_07040219,False,False,False
GBU1,2017_GBU1_03030242,False,False,False
GBU1,2017_GBU1_05290039,False,True,False
GBU1,2017_GBU1_05270366,False,True,False
GBU1,2017_GBU1_05200719,False,False,True
GBU1,2017_GBU1_04290509,False,False,False
GBU1,2017_GBU1_03050689,False,False,True
GBU1,2017_GBU1_05310516,False,True,False
GBU1,2017_GBU1_02040530,False,False,False
GBU1,2017_GBU1_04290490,False,False,False
GBU1,2017_GBU1_03200425,False,False,False
GBU1,2017_GBU1_03280226,False,False,True
GBU1,2017_GBU1_03230789,False,True,True
GBU1,2017_GBU1_02020158,False,False,True
GBU1,2017_GBU1_02270835,False,True,True
GBU1,2017_GBU1_03160810,False,False,False
GBU1,2017_GBU1_03060773,False,False,True
GBU1,2017_GBU1_05280675,False,True,False
GBU1,2017_GBU1_05240698,False,False,False
GBU1,2017_GBU1_02030379,False,False,True
GBU1,2017_GBU1_02180930,False,False,False
GBU1,2017_GBU1_05110413,False,False,False
GBU1,2017_GBU1_05150433,False,False,False
GBU1,2017_GBU1_07060705,False,True,False
GBU1,2017_GBU1_05060562,False,False,False
GBU1,2017_GBU1_04240978,False,False,False
GBU1,2017_GBU1_05180359,False,True,True
GBU1,2017_GBU1_05020896,False,False,False
GBU1,2017_GBU1_02170808,False,False,False
GBU1,2017_GBU1_03030355,False,True,False
GBU1,2017_GBU1_04300567,False,False,False
GBU1,2017_GBU1_05170874,False,False,False
GBU1,2017_GBU1_04280400,False,False,False
GBU1,2017_GBU1_07120597,False,False,True
GBU1,2017_GBU1_03090111,False,False,False
GBU1,2017_GBU1_03100150,False,False,True
GBU1,2017_GBU1_06020191,False,True,False
GBU1,2017_GBU1_02280986,False,False,True
GBU1,2017_GBU1_06010914,False,False,False
GBU1,2017_GBU1_07070732,False,False,True
GBU1,2017_GBU1_05190542,False,False,False
GBU1,2017_GBU1_05100257,False,True,True
GBU1,2017_GBU1_03300441,False,False,False
GBU1,2017_GBU1_05290875,False,True,False
GBU1,2017_GBU1_03110337,False,False,False
GBU1,2017_GBU1_05110731,False,False,True
GBU1,2017_GBU1_05240610,False,True,False
GBU1,2017_GBU1_05170919,False,False,False
GBU1,2017_GBU1_02130387,False,False,True
GBU1,2017_GBU1_07110483,False,False,True
GBU1,2017_GBU1_02110192,False,False,False
GBU1,2017_GBU1_02280005,False,False,True
GBU1,2017_GBU1_05250961,False,True,False
GBU1,2017_GBU1_07160220,False,False,False
GBU1,2017_GBU1_02120298,False,False,False
GBU1,2017_GBU1_05190434,False,False,False
GBU1,2017_GBU1_04020846,False,False,False
GBU1,2017_GBU1_05170732,False,False,True
GBU1,2017_GBU1_02100098,False,False,False
GBU1,2017_GBU1_05210809,False,True,False
GBU1,2017_GBU1_02020267,False,True,False
GBU1,2017_GBU1_04230952,False,False,True
GBU1,2017_GBU1_07060547,False,True,False
GBU1,2017_GBU1_07010912,False,False,False
GBU1,2017_GBU1_05180167,False,True,False
GBU1,2017_GBU1_04010693,False,False,True
GBU1,2017_GBU1_05010739,False,False,True
GBU1,2017_GBU1_05020892,False,False,False
GBU1,2017_GBU1_02160759,False,False,True
GBU1,2017_GBU1_07150168,False,False,True
GBU1,2017_GBU1_05040047,False,False,True
GBU1,2017_GBU1_07140009,False,False,False
GBU1,2017_GBU1_07060697,False,True,False
GBU1,2017_GBU1_03260024,False,False,True
GBU1,2017_GBU1_04260211,False,False,False
GBU1,2017_GBU1_03130570,False,False,True
GBU1,2017_GBU1_03170069,False,False,True
GBU1,2017_GBU1_06020094,False,True,False
GBU1,2017_GBU1_04210732,False,False,False
GBU1,2017_GBU1_02180896,False,False,False
GBU1,2017_GBU1_03170068,False,False,True
GBU1,2017_GBU1_04140972,False,False,True
GBU1,2017_GBU1_05150336,False,False,False
GBU1,2017_GBU1_05310587,False,False,False
GBU1,2017_GBU1_05120834,False,False,False
GBU1,2017_GBU1_05210914,False,False,False
GBU1,2017_GBU1_05270509,False,True,False
GBU1,2017_GBU1_05050245,False,True,False
GBU1,2017_GBU1_07160182,False,False,True
GBU1,2017_GBU1_03270207,False,False,True
GBU1,2017_GBU1_04140984,False,False,True
GBU1,2017_GBU1_02220272,False,False,True
GBU1,2017_GBU1_04130951,False,False,False
GBU1,2017_GBU1_07050322,False,False,False
GBU1,2017_GBU1_03120434,False,True,False
GBU1,2017_GBU1_07070826,False,False,False
GBU1,2017_GBU1_05210927,False,False,False
GBU1,2017_GBU1_05110521,False,True,False
GBU1,2017_GBU1_05250938,False,False,False
GBU1,2017_GBU1_05210848,False,True,False
GBU1,2017_GBU1_07100456,False,True,True
GBU1,2017_GBU1_05230255,False,False,False
GBU1,2017_GBU1_04070285,False,False,True
