camera,ImagePath,badImage,motion,grayscale
KBU2,2017_KBU2_03210501,False,False,False
KBU2,2017_KBU2_03180197,False,False,False
KBU2,2017_KBU2_02080521,False,False,False
KBU2,2017_KBU2_02040186,False,False,True
KBU2,2017_KBU2_02060315,False,False,True
KBU2,2017_KBU2_02040126,False,False,False
KBU2,2017_KBU2_05290254,False,False,False
KBU2,2017_KBU2_05210411,False,False,False
KBU2,2017_KBU2_02110825,False,False,False
KBU2,2017_KBU2_04240169,False,False,True
KBU2,2017_KBU2_05310476,False,False,False
KBU2,2017_KBU2_05180077,False,True,False
KBU2,2017_KBU2_02280649,False,False,True
KBU2,2017_KBU2_04200682,False,False,True
KBU2,2017_KBU2_06090411,False,False,False
KBU2,2017_KBU2_03290441,False,False,False
KBU2,2017_KBU2_02280677,False,False,True
KBU2,2017_KBU2_02080568,False,False,True
KBU2,2017_KBU2_03190285,False,False,False
KBU2,2017_KBU2_02170480,False,False,True
KBU2,2017_KBU2_02270517,False,False,False
KBU2,2017_KBU2_06050962,False,False,True
KBU2,2017_KBU2_04300925,False,True,True
KBU2,2017_KBU2_07140130,False,True,False
KBU2,2017_KBU2_05310498,False,True,False
KBU2,2017_KBU2_02090641,False,False,False
KBU2,2017_KBU2_04300809,False,True,False
KBU2,2017_KBU2_03030996,False,False,False
KBU2,2017_KBU2_02150265,False,False,False
KBU2,2017_KBU2_05100078,False,False,True
KBU2,2017_KBU2_06180397,False,False,False
KBU2,2017_KBU2_05140614,False,False,False
KBU2,2017_KBU2_05160825,False,False,False
KBU2,2017_KBU2_06150066,False,False,False
KBU2,2017_KBU2_02090654,False,False,True
KBU2,2017_KBU2_07050500,False,False,False
KBU2,2017_KBU2_06040907,False,False,False
KBU2,2017_KBU2_05220476,False,False,True
KBU2,2017_KBU2_04170468,False,False,True
KBU2,2017_KBU2_03280327,False,True,False
KBU2,2017_KBU2_01310511,False,False,True
KBU2,2017_KBU2_02020718,False,True,True
KBU2,2017_KBU2_05130503,False,False,False
KBU2,2017_KBU2_01280277,False,False,True
KBU2,2017_KBU2_03280299,False,False,False
KBU2,2017_KBU2_06080357,False,False,True
KBU2,2017_KBU2_05200328,False,False,False
KBU2,2017_KBU2_04200752,False,False,False
KBU2,2017_KBU2_03180180,False,False,False
KBU2,2017_KBU2_02020904,False,True,True
KBU2,2017_KBU2_05280202,False,False,False
KBU2,2017_KBU2_07020153,False,False,False
KBU2,2017_KBU2_03160004,False,True,False
KBU2,2017_KBU2_04160328,False,False,False
KBU2,2017_KBU2_05180004,False,False,True
KBU2,2017_KBU2_06220817,False,False,False
KBU2,2017_KBU2_04230067,False,False,True
KBU2,2017_KBU2_04190591,False,False,True
KBU2,2017_KBU2_05150709,False,False,False
KBU2,2017_KBU2_02030081,False,False,True
KBU2,2017_KBU2_03100100,False,False,False
KBU2,2017_KBU2_03160657,False,True,False
KBU2,2017_KBU2_05180009,False,False,False
KBU2,2017_KBU2_04300832,False,True,False
KBU2,2017_KBU2_02160367,False,False,False
KBU2,2017_KBU2_03130360,False,False,False
KBU2,2017_KBU2_03150581,False,False,False
KBU2,2017_KBU2_03200366,False,False,True
KBU2,2017_KBU2_05110309,False,False,True
KBU2,2017_KBU2_04050248,False,False,True
KBU2,2017_KBU2_02080565,False,False,True
KBU2,2017_KBU2_04030037,False,False,False
KBU2,2017_KBU2_04300863,False,False,False
KBU2,2017_KBU2_02270549,False,True,True
KBU2,2017_KBU2_02210839,False,False,False
KBU2,2017_KBU2_07040351,False,False,True
KBU2,2017_KBU2_02200730,False,False,False
KBU2,2017_KBU2_04150238,False,False,False
KBU2,2017_KBU2_04070393,False,False,False
KBU2,2017_KBU2_03250965,False,True,False
KBU2,2017_KBU2_02150257,False,False,False
KBU2,2017_KBU2_05060581,False,True,False
KBU2,2017_KBU2_02150238,False,False,False
KBU2,2017_KBU2_04040089,False,False,True
KBU2,2017_KBU2_05080806,False,False,False
KBU2,2017_KBU2_07130004,False,False,False
KBU2,2017_KBU2_06260302,False,False,False
KBU2,2017_KBU2_05240742,False,False,False
KBU2,2017_KBU2_06110621,False,False,False
KBU2,2017_KBU2_02180595,False,False,True
KBU2,2017_KBU2_03050565,False,True,False
KBU2,2017_KBU2_04230015,False,False,False
KBU2,2017_KBU2_02110832,False,False,False
KBU2,2017_KBU2_05180117,False,False,True
KBU2,2017_KBU2_04050234,False,False,False
KBU2,2017_KBU2_06170341,False,False,True
KBU2,2017_KBU2_02260341,False,False,True
KBU2,2017_KBU2_04020936,False,False,False
KBU2,2017_KBU2_04280519,False,False,False
KBU2,2017_KBU2_06120785,False,True,False
KBU2,2017_KBU2_02100702,False,False,True
KBU2,2017_KBU2_02260398,False,False,True
KBU2,2017_KBU2_07030298,False,False,False
KBU2,2017_KBU2_05210388,False,False,False
KBU2,2017_KBU2_03150556,False,False,False
KBU2,2017_KBU2_02140156,False,False,False
KBU2,2017_KBU2_05090954,False,False,False
KBU2,2017_KBU2_03100046,False,False,True
KBU2,2017_KBU2_03040507,False,False,True
KBU2,2017_KBU2_06230889,False,False,True
KBU2,2017_KBU2_06120788,False,False,True
KBU2,2017_KBU2_04040126,False,False,False
KBU2,2017_KBU2_02270522,False,True,False
KBU2,2017_KBU2_02270451,False,False,False
KBU2,2017_KBU2_03230722,False,True,False
KBU2,2017_KBU2_05290243,False,False,True
KBU2,2017_KBU2_04240164,False,False,True
KBU2,2017_KBU2_06260239,False,False,True
KBU2,2017_KBU2_03030130,False,True,False
KBU2,2017_KBU2_04050245,False,False,True
KBU2,2017_KBU2_06110680,False,False,False
KBU2,2017_KBU2_03010809,False,True,False
KBU2,2017_KBU2_04030048,False,False,True
KBU2,2017_KBU2_04160353,False,False,True
KBU2,2017_KBU2_02250265,False,False,False
KBU2,2017_KBU2_05070671,False,False,True
KBU2,2017_KBU2_04070406,False,False,False
KBU2,2017_KBU2_04180555,False,False,True
KBU2,2017_KBU2_02250276,False,False,False
KBU2,2017_KBU2_03220634,False,False,True
KBU2,2017_KBU2_03230726,False,True,False
KBU2,2017_KBU2_05010953,False,False,True
KBU2,2017_KBU2_04300899,False,False,True
KBU2,2017_KBU2_04200692,False,False,True
KBU2,2017_KBU2_06180445,False,False,True
KBU2,2017_KBU2_05300420,False,False,True
KBU2,2017_KBU2_02270552,False,True,True
KBU2,2017_KBU2_03230709,False,False,False
KBU2,2017_KBU2_04230007,False,False,False
KBU2,2017_KBU2_02260319,False,False,True
KBU2,2017_KBU2_05210420,False,True,False
KBU2,2017_KBU2_02150271,False,False,False
KBU2,2017_KBU2_03140454,False,False,False
KBU2,2017_KBU2_02040160,False,False,False
KBU2,2017_KBU2_02010655,False,False,False
KBU2,2017_KBU2_02270412,False,False,True
KBU2,2017_KBU2_07090933,False,False,False
KBU2,2017_KBU2_07010103,False,False,False
KBU2,2017_KBU2_04200771,False,False,True
KBU2,2017_KBU2_06260326,False,False,True
KBU2,2017_KBU2_07020179,False,True,False
KBU2,2017_KBU2_02130095,False,False,True
KBU2,2017_KBU2_04110771,False,False,True
KBU2,2017_KBU2_05140594,False,False,False
KBU2,2017_KBU2_04190611,False,False,False
KBU2,2017_KBU2_04220892,False,True,True
KBU2,2017_KBU2_02010641,False,True,False
KBU2,2017_KBU2_05060579,False,True,False
KBU2,2017_KBU2_05090951,False,False,False
KBU2,2017_KBU2_06100566,False,True,False
KBU2,2017_KBU2_04210852,False,False,False
KBU2,2017_KBU2_03170058,False,False,True
KBU2,2017_KBU2_05250837,False,False,False
KBU2,2017_KBU2_02180584,False,False,True
KBU2,2017_KBU2_06290895,False,False,False
KBU2,2017_KBU2_03220643,False,False,True
KBU2,2017_KBU2_02020953,False,False,True
KBU2,2017_KBU2_02010614,False,False,False
KBU2,2017_KBU2_03030253,False,True,True
KBU2,2017_KBU2_06240075,False,False,False
KBU2,2017_KBU2_04080465,False,False,True
KBU2,2017_KBU2_06100494,False,False,True
KBU2,2017_KBU2_05100994,False,False,True
KBU2,2017_KBU2_06200621,False,False,False
KBU2,2017_KBU2_05080801,False,False,False
KBU2,2017_KBU2_03030076,False,True,False
KBU2,2017_KBU2_05280164,False,False,False
KBU2,2017_KBU2_06210719,False,False,False
KBU2,2017_KBU2_04180482,False,False,True
KBU2,2017_KBU2_07110170,False,False,False
KBU2,2017_KBU2_02030001,False,True,True
KBU2,2017_KBU2_03280335,False,False,False
KBU2,2017_KBU2_05280179,False,False,False
