camera,ImagePath,badImage,motion,grayscale
NEN2,2017_NEN2_05110635,False,True,False
NEN2,2017_NEN2_02020664,False,False,False
NEN2,2017_NEN2_05020589,False,False,False
NEN2,2017_NEN2_04120778,False,True,False
NEN2,2017_NEN2_05280006,False,False,False
NEN2,2017_NEN2_02210511,False,False,False
NEN2,2017_NEN2_02060040,False,False,True
NEN2,2017_NEN2_05070071,False,False,False
NEN2,2017_NEN2_03030538,False,False,True
NEN2,2017_NEN2_02240777,False,False,True
NEN2,2017_NEN2_06210158,False,False,False
NEN2,2017_NEN2_04020726,False,False,False
NEN2,2017_NEN2_03130512,False,False,True
NEN2,2017_NEN2_03010322,False,False,False
NEN2,2017_NEN2_06080788,False,False,True
NEN2,2017_NEN2_04240559,False,True,False
NEN2,2017_NEN2_05180708,False,True,False
NEN2,2017_NEN2_03240764,False,False,True
NEN2,2017_NEN2_06130148,False,False,False
NEN2,2017_NEN2_01280190,False,False,False
NEN2,2017_NEN2_05140928,False,False,False
NEN2,2017_NEN2_03300384,False,False,False
NEN2,2017_NEN2_05210163,False,True,False
NEN2,2017_NEN2_05210284,False,True,False
NEN2,2017_NEN2_06220247,False,False,False
NEN2,2017_NEN2_02200396,False,False,True
NEN2,2017_NEN2_06160474,False,True,False
NEN2,2017_NEN2_05030653,False,False,False
NEN2,2017_NEN2_05020532,False,False,True
NEN2,2017_NEN2_04270045,False,False,False
NEN2,2017_NEN2_04270993,False,False,True
NEN2,2017_NEN2_04110623,False,False,True
NEN2,2017_NEN2_04220118,False,False,False
NEN2,2017_NEN2_06260705,False,False,False
NEN2,2017_NEN2_03240794,False,False,False
NEN2,2017_NEN2_05180617,False,False,True
NEN2,2017_NEN2_06050424,False,False,False
NEN2,2017_NEN2_02230680,False,False,True
NEN2,2017_NEN2_02130703,False,False,True
NEN2,2017_NEN2_03140560,False,False,False
NEN2,2017_NEN2_05250353,False,False,True
NEN2,2017_NEN2_05240890,False,True,False
NEN2,2017_NEN2_05240998,False,True,False
NEN2,2017_NEN2_06040259,False,False,True
NEN2,2017_NEN2_05220454,False,True,False
NEN2,2017_NEN2_02080291,False,False,True
NEN2,2017_NEN2_02100472,False,False,False
NEN2,2017_NEN2_04170622,False,False,True
NEN2,2017_NEN2_03100169,False,False,False
NEN2,2017_NEN2_02010609,False,False,True
NEN2,2017_NEN2_05040803,False,False,False
NEN2,2017_NEN2_04150318,False,False,False
NEN2,2017_NEN2_04230300,False,False,True
NEN2,2017_NEN2_03310460,False,False,True
NEN2,2017_NEN2_05240012,False,True,False
NEN2,2017_NEN2_02100482,False,False,True
NEN2,2017_NEN2_03060759,False,False,True
NEN2,2017_NEN2_02220639,False,False,False
NEN2,2017_NEN2_04190859,False,False,True
NEN2,2017_NEN2_05210240,False,False,False
NEN2,2017_NEN2_05110550,False,True,False
NEN2,2017_NEN2_05160181,False,False,False
NEN2,2017_NEN2_05310612,False,False,False
NEN2,2017_NEN2_06190862,False,True,False
NEN2,2017_NEN2_05260361,False,False,True
NEN2,2017_NEN2_04130051,False,False,False
NEN2,2017_NEN2_06160493,False,True,False
NEN2,2017_NEN2_04100557,False,True,False
NEN2,2017_NEN2_06280969,False,False,True
NEN2,2017_NEN2_06060540,False,True,False
NEN2,2017_NEN2_04090430,False,False,False
NEN2,2017_NEN2_04020729,False,False,False
NEN2,2017_NEN2_04160496,False,True,True
NEN2,2017_NEN2_04240554,False,True,False
NEN2,2017_NEN2_05230655,False,True,False
NEN2,2017_NEN2_02120676,False,False,True
NEN2,2017_NEN2_03090128,False,False,True
NEN2,2017_NEN2_06070661,False,False,False
NEN2,2017_NEN2_04030853,False,False,True
NEN2,2017_NEN2_07020283,False,False,True
NEN2,2017_NEN2_03010256,False,False,True
NEN2,2017_NEN2_02210496,False,False,True
NEN2,2017_NEN2_05110566,False,True,False
NEN2,2017_NEN2_04180708,False,False,False
NEN2,2017_NEN2_02090395,False,False,True
NEN2,2017_NEN2_06240553,False,False,False
NEN2,2017_NEN2_05260463,False,True,False
NEN2,2017_NEN2_05210228,False,False,False
NEN2,2017_NEN2_05170348,False,True,False
NEN2,2017_NEN2_06070703,False,True,False
NEN2,2017_NEN2_06050421,False,False,False
NEN2,2017_NEN2_06040300,False,False,False
NEN2,2017_NEN2_05250122,False,True,False
NEN2,2017_NEN2_05110572,False,True,False
NEN2,2017_NEN2_05110674,False,True,True
NEN2,2017_NEN2_02270130,False,False,False
NEN2,2017_NEN2_04170586,False,True,False
