camera,ImagePath,badImage,motion,grayscale
PSU3,2017_PSU3_03300355,False,False,False
PSU3,2017_PSU3_04160997,False,False,True
PSU3,2017_PSU3_04040913,False,False,True
PSU3,2017_PSU3_04200473,False,False,True
PSU3,2017_PSU3_02200933,False,False,False
PSU3,2017_PSU3_04050925,False,False,True
PSU3,2017_PSU3_07110644,False,False,False
PSU3,2017_PSU3_03200410,False,False,True
PSU3,2017_PSU3_04250931,False,False,False
PSU3,2017_PSU3_07020817,False,False,False
PSU3,2017_PSU3_03100682,False,False,True
PSU3,2017_PSU3_06020776,False,False,False
PSU3,2017_PSU3_05250957,False,False,True
PSU3,2017_PSU3_04050966,False,False,False
PSU3,2017_PSU3_05260069,False,False,False
PSU3,2017_PSU3_06020725,False,False,True
PSU3,2017_PSU3_04120616,False,False,True
PSU3,2017_PSU3_04010605,False,False,False
PSU3,2017_PSU3_06090423,False,False,True
PSU3,2017_PSU3_05210548,False,False,False
PSU3,2017_PSU3_04050016,False,False,True
PSU3,2017_PSU3_03280188,False,False,False
PSU3,2017_PSU3_02160536,False,False,True
PSU3,2017_PSU3_05130723,False,False,False
PSU3,2017_PSU3_04170135,False,False,False
PSU3,2017_PSU3_05070126,False,False,False
PSU3,2017_PSU3_04220577,False,False,True
PSU3,2017_PSU3_04090359,False,False,False
PSU3,2017_PSU3_06070292,False,False,False
PSU3,2017_PSU3_02210093,False,False,True
PSU3,2017_PSU3_03210434,False,False,True
PSU3,2017_PSU3_05300454,False,False,False
PSU3,2017_PSU3_03020961,False,False,True
PSU3,2017_PSU3_07060206,False,False,False
PSU3,2017_PSU3_02080755,False,False,True
PSU3,2017_PSU3_02230237,False,False,False
PSU3,2017_PSU3_02230252,False,False,False
PSU3,2017_PSU3_05130725,False,False,False
PSU3,2017_PSU3_04030732,False,False,True
PSU3,2017_PSU3_03020968,False,False,True
PSU3,2017_PSU3_07030927,False,False,False
PSU3,2017_PSU3_05120581,False,False,True
PSU3,2017_PSU3_03210512,False,False,True
PSU3,2017_PSU3_02050486,False,False,False
PSU3,2017_PSU3_03200397,False,False,False
PSU3,2017_PSU3_07120744,False,False,False
PSU3,2017_PSU3_05230800,False,False,True
PSU3,2017_PSU3_02210024,False,False,True
PSU3,2017_PSU3_07170219,False,False,True
PSU3,2017_PSU3_03260995,False,False,False
PSU3,2017_PSU3_03230649,False,False,False
PSU3,2017_PSU3_06160135,False,False,False
PSU3,2017_PSU3_03010841,False,False,False
PSU3,2017_PSU3_05140855,False,False,True
PSU3,2017_PSU3_04130732,False,False,False
PSU3,2017_PSU3_02190867,False,False,False
PSU3,2017_PSU3_04060115,False,False,True
PSU3,2017_PSU3_02180786,False,False,True
PSU3,2017_PSU3_05270176,False,False,False
PSU3,2017_PSU3_06030833,False,False,True
PSU3,2017_PSU3_07040946,False,False,True
PSU3,2017_PSU3_07170278,False,False,False
PSU3,2017_PSU3_03180174,False,True,False
PSU3,2017_PSU3_04270104,False,False,False
PSU3,2017_PSU3_05240896,False,False,False
PSU3,2017_PSU3_04070161,False,False,False
PSU3,2017_PSU3_06230863,False,False,False
PSU3,2017_PSU3_04240814,False,False,False
PSU3,2017_PSU3_04040890,False,False,False
PSU3,2017_PSU3_02070682,False,False,False
PSU3,2017_PSU3_05240878,False,False,False
PSU3,2017_PSU3_03270056,False,False,True
PSU3,2017_PSU3_06030912,False,False,True
PSU3,2017_PSU3_05080151,False,False,True
PSU3,2017_PSU3_05030726,False,False,False
PSU3,2017_PSU3_04120680,False,False,True
PSU3,2017_PSU3_02020201,False,False,False
PSU3,2017_PSU3_03310448,False,False,False
PSU3,2017_PSU3_03220575,False,False,False
PSU3,2017_PSU3_07020829,False,False,True
PSU3,2017_PSU3_02200984,False,False,True
PSU3,2017_PSU3_02160563,False,False,False
PSU3,2017_PSU3_05150951,False,False,False
PSU3,2017_PSU3_03190290,False,False,False
PSU3,2017_PSU3_04090402,False,False,True
PSU3,2017_PSU3_03180181,False,False,False
PSU3,2017_PSU3_03030022,False,False,False
PSU3,2017_PSU3_03110848,False,False,True
PSU3,2017_PSU3_03310529,False,False,True
PSU3,2017_PSU3_07090435,False,False,True
PSU3,2017_PSU3_04060051,False,False,False
PSU3,2017_PSU3_06280360,False,False,True
PSU3,2017_PSU3_06260161,False,False,True
PSU3,2017_PSU3_06110696,False,False,True
PSU3,2017_PSU3_02210001,False,False,True
PSU3,2017_PSU3_06210607,False,False,True
PSU3,2017_PSU3_02150424,False,False,True
PSU3,2017_PSU3_07010673,False,False,True
PSU3,2017_PSU3_07020785,False,False,False
PSU3,2017_PSU3_05260078,False,False,False
