camera,ImagePath,badImage,motion,grayscale
SBU2,2017_SBU2_07060757,False,False,False
SBU2,2017_SBU2_07010185,False,False,True
SBU2,2017_SBU2_03310446,False,False,True
SBU2,2017_SBU2_07100136,False,False,False
SBU2,2017_SBU2_06150084,False,False,True
SBU2,2017_SBU2_07020338,False,False,False
SBU2,2017_SBU2_07140058,False,False,True
SBU2,2017_SBU2_06110547,False,False,True
SBU2,2017_SBU2_04100460,False,False,True
SBU2,2017_SBU2_02150876,False,True,False
SBU2,2017_SBU2_03260036,False,False,True
SBU2,2017_SBU2_07080945,False,False,False
SBU2,2017_SBU2_04240900,False,False,False
SBU2,2017_SBU2_07070848,False,False,False
SBU2,2017_SBU2_07110275,False,False,False
SBU2,2017_SBU2_06020389,False,True,False
SBU2,2017_SBU2_05130814,False,False,False
SBU2,2017_SBU2_06220561,False,True,False
SBU2,2017_SBU2_04010632,False,False,False
SBU2,2017_SBU2_06160200,False,False,False
SBU2,2017_SBU2_02100419,False,False,True
SBU2,2017_SBU2_06030479,False,False,False
SBU2,2017_SBU2_03190303,False,False,False
SBU2,2017_SBU2_06040680,False,False,True
SBU2,2017_SBU2_02250892,False,False,True
SBU2,2017_SBU2_03130517,False,False,False
SBU2,2017_SBU2_05210590,False,False,True
SBU2,2017_SBU2_07150205,False,True,False
SBU2,2017_SBU2_05120725,False,False,False
SBU2,2017_SBU2_05130846,False,False,True
SBU2,2017_SBU2_05010624,False,False,False
SBU2,2017_SBU2_06210291,False,False,False
SBU2,2017_SBU2_04160110,False,False,False
SBU2,2017_SBU2_02190216,False,False,True
SBU2,2017_SBU2_04160073,False,False,False
SBU2,2017_SBU2_05280462,False,False,True
SBU2,2017_SBU2_06210283,False,False,False
SBU2,2017_SBU2_06290048,False,False,False
SBU2,2017_SBU2_06220566,False,True,False
SBU2,2017_SBU2_04060096,False,False,False
SBU2,2017_SBU2_05050058,False,False,True
SBU2,2017_SBU2_02040817,False,False,True
SBU2,2017_SBU2_05060100,False,False,False
SBU2,2017_SBU2_02080183,False,False,False
SBU2,2017_SBU2_06150996,False,False,False
SBU2,2017_SBU2_05300737,False,True,False
SBU2,2017_SBU2_07140139,False,True,True
SBU2,2017_SBU2_02150864,False,False,False
SBU2,2017_SBU2_04300537,False,False,False
SBU2,2017_SBU2_04070157,False,False,True
SBU2,2017_SBU2_02200400,False,False,True
SBU2,2017_SBU2_02280165,False,False,True
SBU2,2017_SBU2_02210490,False,False,True
SBU2,2017_SBU2_04280295,False,False,False
SBU2,2017_SBU2_06010230,False,False,True
SBU2,2017_SBU2_05070216,False,False,False
SBU2,2017_SBU2_07140088,False,False,False
SBU2,2017_SBU2_07130419,False,False,True
SBU2,2017_SBU2_07170428,False,False,False
SBU2,2017_SBU2_05280351,False,False,False
SBU2,2017_SBU2_06190009,False,False,True
SBU2,2017_SBU2_07020371,False,False,True
SBU2,2017_SBU2_06220621,False,False,True
SBU2,2017_SBU2_07100166,False,False,False
SBU2,2017_SBU2_07130398,False,False,True
SBU2,2017_SBU2_06190984,False,False,False
SBU2,2017_SBU2_05210671,False,False,True
SBU2,2017_SBU2_05300842,False,True,True
SBU2,2017_SBU2_04250027,False,False,True
SBU2,2017_SBU2_04220646,False,False,True
SBU2,2017_SBU2_06090336,False,False,False
SBU2,2017_SBU2_06190922,False,True,False
SBU2,2017_SBU2_01290197,False,False,False
SBU2,2017_SBU2_03220633,False,False,True
SBU2,2017_SBU2_07020377,False,True,True
SBU2,2017_SBU2_07020312,False,False,False
SBU2,2017_SBU2_03310454,False,False,True
SBU2,2017_SBU2_02230692,False,False,True
SBU2,2017_SBU2_06280929,False,False,False
SBU2,2017_SBU2_06240791,False,False,True
SBU2,2017_SBU2_04030770,False,False,True
SBU2,2017_SBU2_06220575,False,True,False
SBU2,2017_SBU2_02200348,False,False,False
SBU2,2017_SBU2_04060070,False,False,True
SBU2,2017_SBU2_04150979,False,False,False
SBU2,2017_SBU2_06070999,False,True,False
SBU2,2017_SBU2_03240792,False,False,False
SBU2,2017_SBU2_05190384,False,False,True
SBU2,2017_SBU2_04100533,False,False,True
SBU2,2017_SBU2_06110625,False,False,False
SBU2,2017_SBU2_01280074,False,False,False
SBU2,2017_SBU2_07160335,False,False,False
SBU2,2017_SBU2_06160222,False,True,False
SBU2,2017_SBU2_02120533,False,False,True
SBU2,2017_SBU2_06040596,False,True,True
SBU2,2017_SBU2_06290067,False,False,False
SBU2,2017_SBU2_03120377,False,False,True
SBU2,2017_SBU2_04290406,False,False,False
SBU2,2017_SBU2_02210424,False,False,True
SBU2,2017_SBU2_06030458,False,False,True
SBU2,2017_SBU2_06170407,False,True,False
SBU2,2017_SBU2_07140149,False,False,True
SBU2,2017_SBU2_05160117,False,False,False
SBU2,2017_SBU2_01280062,False,False,True
SBU2,2017_SBU2_02180154,False,False,False
SBU2,2017_SBU2_06010036,False,False,True
SBU2,2017_SBU2_06020405,False,True,False
SBU2,2017_SBU2_03250853,False,False,True
SBU2,2017_SBU2_02160946,False,True,True
SBU2,2017_SBU2_03140646,False,False,True
SBU2,2017_SBU2_04160091,False,False,False
SBU2,2017_SBU2_06140938,False,False,False
SBU2,2017_SBU2_07120320,False,False,False
SBU2,2017_SBU2_03270096,False,False,False
SBU2,2017_SBU2_04270141,False,False,True
SBU2,2017_SBU2_05250975,False,False,True
SBU2,2017_SBU2_05310002,False,False,False
SBU2,2017_SBU2_05310934,False,True,False
SBU2,2017_SBU2_02010460,False,False,True
SBU2,2017_SBU2_02170027,False,False,True
SBU2,2017_SBU2_05080336,False,False,False
SBU2,2017_SBU2_02170046,False,False,False
SBU2,2017_SBU2_05140926,False,False,False
SBU2,2017_SBU2_04100482,False,False,False
SBU2,2017_SBU2_06250014,False,False,True
SBU2,2017_SBU2_04290424,False,False,True
SBU2,2017_SBU2_03230696,False,False,False
SBU2,2017_SBU2_06300109,False,False,False
