camera,ImagePath,badImage,motion,grayscale
SGN3,2017_SGN3_06070646,False,False,True
SGN3,2017_SGN3_03150775,False,False,True
SGN3,2017_SGN3_05190518,False,False,False
SGN3,2017_SGN3_06030193,False,False,False
SGN3,2017_SGN3_07050621,False,False,False
SGN3,2017_SGN3_03060618,False,False,False
SGN3,2017_SGN3_04120854,False,False,False
SGN3,2017_SGN3_05030947,False,False,False
SGN3,2017_SGN3_04300616,False,False,False
SGN3,2017_SGN3_07110350,False,False,False
SGN3,2017_SGN3_02110712,False,False,False
SGN3,2017_SGN3_03110252,False,True,False
SGN3,2017_SGN3_03110278,False,True,False
SGN3,2017_SGN3_04050208,False,False,True
SGN3,2017_SGN3_06110216,False,True,False
SGN3,2017_SGN3_03170208,False,False,False
SGN3,2017_SGN3_04110755,False,False,False
SGN3,2017_SGN3_02170436,False,False,False
SGN3,2017_SGN3_02240302,False,True,False
SGN3,2017_SGN3_05310786,False,False,False
SGN3,2017_SGN3_06180899,False,False,False
SGN3,2017_SGN3_04270387,False,False,True
SGN3,2017_SGN3_04270306,False,False,True
SGN3,2017_SGN3_06290981,False,False,True
SGN3,2017_SGN3_04110725,False,False,True
SGN3,2017_SGN3_06230398,False,True,False
SGN3,2017_SGN3_04210768,False,False,False
SGN3,2017_SGN3_04130923,False,False,True
SGN3,2017_SGN3_03070701,False,False,True
SGN3,2017_SGN3_05120856,False,False,True
SGN3,2017_SGN3_03130492,False,False,True
SGN3,2017_SGN3_02230198,False,True,False
SGN3,2017_SGN3_02150197,False,False,False
SGN3,2017_SGN3_01300459,False,False,True
SGN3,2017_SGN3_05140057,False,False,True
SGN3,2017_SGN3_05250116,False,False,False
SGN3,2017_SGN3_04050187,False,False,False
SGN3,2017_SGN3_07030472,False,False,False
SGN3,2017_SGN3_04280444,False,False,False
SGN3,2017_SGN3_05180390,False,False,False
SGN3,2017_SGN3_04150173,False,False,False
SGN3,2017_SGN3_07070790,False,False,True
SGN3,2017_SGN3_05170274,False,False,True
SGN3,2017_SGN3_03250073,False,False,False
SGN3,2017_SGN3_04040054,False,False,False
SGN3,2017_SGN3_02230139,False,False,True
SGN3,2017_SGN3_02220087,False,True,False
SGN3,2017_SGN3_02180594,False,False,True
SGN3,2017_SGN3_03140761,False,False,True
SGN3,2017_SGN3_02190636,False,False,False
SGN3,2017_SGN3_03120354,False,True,False
SGN3,2017_SGN3_05280510,False,False,True
SGN3,2017_SGN3_06220297,False,False,False
SGN3,2017_SGN3_03060589,False,False,True
