Unnamed: 0,ImagePath,ValidationValue,camera
,2017_GBU4_03260117,3,GBU4
,2017_GBU4_05230319,3,GBU4
,2017_GBU4_02020180,1,GBU4
,2017_GBU4_05140384,3,GBU4
,2017_GBU4_03250994,3,GBU4
,2017_GBU4_03250984,3,GBU4
,2017_GBU4_02030447,1,GBU4
,2017_GBU4_03260116,3,GBU4
,2017_GBU4_05230313,3,GBU4
,2017_GBU4_05230314,3,GBU4
,2017_GBU4_05140458,3,GBU4
,2017_GBU4_05290159,-1,GBU4
,2017_GBU4_05230315,3,GBU4
,2017_GBU4_03050886,0,GBU4
,2017_GBU4_02220402,0,GBU4
,2017_GBU4_03290388,0,GBU4
,2017_GBU4_02140600,0,GBU4
,2017_GBU4_04110777,3,GBU4
,2017_GBU4_04040042,0,GBU4
,2017_GBU4_02220404,0,GBU4
,2017_GBU4_03290392,0,GBU4
,2017_GBU4_02140602,3,GBU4
,2017_GBU4_04110782,0,GBU4
,2017_GBU4_04040046,0,GBU4
,2017_GBU4_02220406,0,GBU4
,2017_GBU4_03290395,0,GBU4
,2017_GBU4_02140603,3,GBU4
,2017_GBU4_04120830,0,GBU4
,2017_GBU4_04040050,0,GBU4
,2017_GBU4_02220408,0,GBU4
,2017_GBU4_03290398,0,GBU4
,2017_GBU4_02140604,0,GBU4
,2017_GBU4_04120835,0,GBU4
,2017_GBU4_04040054,0,GBU4
,2017_GBU4_02220411,4,GBU4
,2017_GBU4_03290401,3,GBU4
,2017_GBU4_02140605,0,GBU4
,2017_GBU4_04120840,0,GBU4
,2017_GBU4_04040058,0,GBU4
,2017_GBU4_02220413,0,GBU4
,2017_GBU4_03290404,0,GBU4
,2017_GBU4_02140606,0,GBU4
,2017_GBU4_04120845,0,GBU4
,2017_GBU4_04040063,0,GBU4
,2017_GBU4_02220415,0,GBU4
,2017_GBU4_03290407,0,GBU4
,2017_GBU4_02140607,0,GBU4
,2017_GBU4_04120850,0,GBU4
,2017_GBU4_04040067,0,GBU4
