Unnamed: 0,ImagePath,ValidationValue,camera
,2017_KBU2_01280243,0,KBU2
,2017_KBU2_03090995,0,KBU2
,2017_KBU2_01280222,3,KBU2
,2017_KBU2_01280221,3,KBU2
,2017_KBU2_06120733,3,KBU2
,2017_KBU2_01280228,3,KBU2
,2017_KBU2_05100002,1,KBU2
,2017_KBU2_05160842,3,KBU2
,2017_KBU2_06070203,4,KBU2
,2017_KBU2_06130834,3,KBU2
,2017_KBU2_04230999,1,KBU2
,2017_KBU2_05230641,3,KBU2
,2017_KBU2_05190183,3,KBU2
,2017_KBU2_05170927,3,KBU2
,2017_KBU2_04230001,1,KBU2
,2017_KBU2_06100555,3,KBU2
,2017_KBU2_07050508,2,KBU2
,2017_KBU2_01280226,4,KBU2
,2017_KBU2_05080782,2,KBU2
,2017_KBU2_05190181,3,KBU2
,2017_KBU2_05240704,1,KBU2
,2017_KBU2_03090984,0,KBU2
,2017_KBU2_03170079,2,KBU2
,2017_KBU2_06130836,0,KBU2
,2017_KBU2_02100749,0,KBU2
,2017_KBU2_05300401,3,KBU2
,2017_KBU2_05200306,4,KBU2
,2017_KBU2_05240720,3,KBU2
,2017_KBU2_05120354,1,KBU2
,2017_KBU2_05250810,2,KBU2
,2017_KBU2_05190211,3,KBU2
,2017_KBU2_03170080,2,KBU2
,2017_KBU2_05300364,3,KBU2
,2017_KBU2_05190185,4,KBU2
,2017_KBU2_01290332,3,KBU2
,2017_KBU2_05100003,2,KBU2
,2017_KBU2_06010593,3,KBU2
,2017_KBU2_01280244,0,KBU2
,2017_KBU2_01300428,3,KBU2
,2017_KBU2_05190191,3,KBU2
,2017_KBU2_06210704,3,KBU2
,2017_KBU2_06070196,3,KBU2
,2017_KBU2_05110133,1,KBU2
,2017_KBU2_02170457,3,KBU2
,2017_KBU2_06010596,4,KBU2
,2017_KBU2_05310500,3,KBU2
,2017_KBU2_03170078,2,KBU2
,2017_KBU2_06100525,3,KBU2
,2017_KBU2_05240741,0,KBU2
,2017_KBU2_02010615,0,KBU2
,2017_KBU2_05250809,1,KBU2
,2017_KBU2_05200294,3,KBU2
,2017_KBU2_02260372,0,KBU2
,2017_KBU2_06100554,3,KBU2
,2017_KBU2_04200708,2,KBU2
,2017_KBU2_05110139,2,KBU2
,2017_KBU2_05220529,3,KBU2
,2017_KBU2_02160342,0,KBU2
,2017_KBU2_03210498,0,KBU2
,2017_KBU2_02080525,0,KBU2
,2017_KBU2_04010810,0,KBU2
,2017_KBU2_03260109,0,KBU2
,2017_KBU2_02160344,0,KBU2
,2017_KBU2_03210501,0,KBU2
,2017_KBU2_02080526,0,KBU2
,2017_KBU2_04010815,0,KBU2
,2017_KBU2_03260113,0,KBU2
,2017_KBU2_02160346,0,KBU2
,2017_KBU2_03210504,3,KBU2
,2017_KBU2_02080527,0,KBU2
,2017_KBU2_04010820,3,KBU2
,2017_KBU2_03260117,0,KBU2
,2017_KBU2_02160348,3,KBU2
,2017_KBU2_03210507,0,KBU2
,2017_KBU2_02080528,0,KBU2
,2017_KBU2_04010825,3,KBU2
,2017_KBU2_03260121,0,KBU2
,2017_KBU2_02160350,3,KBU2
,2017_KBU2_03210510,0,KBU2
,2017_KBU2_02080529,0,KBU2
,2017_KBU2_04010830,3,KBU2
,2017_KBU2_03260125,0,KBU2
,2017_KBU2_02160352,0,KBU2
,2017_KBU2_03210513,0,KBU2
,2017_KBU2_02080530,0,KBU2
,2017_KBU2_04010835,0,KBU2
,2017_KBU2_03260129,0,KBU2
,2017_KBU2_02160354,3,KBU2
,2017_KBU2_03210516,0,KBU2
,2017_KBU2_02080531,0,KBU2
,2017_KBU2_04010840,3,KBU2
,2017_KBU2_03270179,0,KBU2
,2017_KBU2_02160356,0,KBU2
,2017_KBU2_03210519,0,KBU2
,2017_KBU2_02080532,0,KBU2
,2017_KBU2_04020890,0,KBU2
,2017_KBU2_03270183,3,KBU2
,2017_KBU2_02160358,0,KBU2
,2017_KBU2_03220573,3,KBU2
,2017_KBU2_02080533,0,KBU2
,2017_KBU2_04020895,0,KBU2
,2017_KBU2_03270187,0,KBU2
,2017_KBU2_02160360,3,KBU2
,2017_KBU2_03220576,0,KBU2
,2017_KBU2_02080534,3,KBU2
,2017_KBU2_04020900,0,KBU2
,2017_KBU2_03270191,0,KBU2
,2017_KBU2_02160362,0,KBU2
,2017_KBU2_03220579,0,KBU2
,2017_KBU2_02080535,0,KBU2
,2017_KBU2_04020905,0,KBU2
,2017_KBU2_03270195,0,KBU2
,2017_KBU2_02160364,0,KBU2
,2017_KBU2_03220582,0,KBU2
,2017_KBU2_02080536,0,KBU2
,2017_KBU2_04020910,0,KBU2
,2017_KBU2_03270199,0,KBU2
