Unnamed: 0,ImagePath,ValidationValue,camera
,2017_NEN3_06190452,0,NEN3
,2017_NEN3_02100532,2,NEN3
,2017_NEN3_04270109,0,NEN3
,2017_NEN3_06180245,0,NEN3
,2017_NEN3_06210995,0,NEN3
,2017_NEN3_03080052,0,NEN3
,2017_NEN3_06030584,0,NEN3
,2017_NEN3_05170275,0,NEN3
,2017_NEN3_07030702,0,NEN3
,2017_NEN3_02130814,0,NEN3
,2017_NEN3_07060224,0,NEN3
,2017_NEN3_03180185,0,NEN3
,2017_NEN3_06030589,4,NEN3
,2017_NEN3_05160017,0,NEN3
,2017_NEN3_06190580,0,NEN3
,2017_NEN3_07100761,0,NEN3
,2017_NEN3_07020621,0,NEN3
,2017_NEN3_05110456,0,NEN3
,2017_NEN3_05070104,0,NEN3
,2017_NEN3_03080035,4,NEN3
