Unnamed: 0,ImagePath,ValidationValue,camera
,2017_SGN2_03020595,1,SGN2
,2017_SGN2_04130797,1,SGN2
,2017_SGN2_04190366,1,SGN2
,2017_SGN2_02070266,3,SGN2
,2017_SGN2_01260096,1,SGN2
,2017_SGN2_04160107,2,SGN2
,2017_SGN2_04280250,1,SGN2
,2017_SGN2_03160006,2,SGN2
,2017_SGN2_04280264,1,SGN2
,2017_SGN2_05040851,2,SGN2
,2017_SGN2_06060649,1,SGN2
,2017_SGN2_06070744,2,SGN2
,2017_SGN2_03040798,2,SGN2
,2017_SGN2_05030797,3,SGN2
,2017_SGN2_03150958,2,SGN2
,2017_SGN2_05030759,2,SGN2
,2017_SGN2_04060113,2,SGN2
,2017_SGN2_03300418,2,SGN2
,2017_SGN2_04090401,1,SGN2
,2017_SGN2_04090402,1,SGN2
,2017_SGN2_04240891,2,SGN2
,2017_SGN2_04280266,1,SGN2
,2017_SGN2_04280265,1,SGN2
,2017_SGN2_01270175,0,SGN2
,2017_SGN2_04240877,2,SGN2
,2017_SGN2_04040905,2,SGN2
,2017_SGN2_06020200,2,SGN2
,2017_SGN2_01280285,1,SGN2
,2017_SGN2_06020205,2,SGN2
,2017_SGN2_03140804,2,SGN2
,2017_SGN2_03260994,4,SGN2
,2017_SGN2_05050960,2,SGN2
,2017_SGN2_06060666,1,SGN2
,2017_SGN2_03230729,1,SGN2
,2017_SGN2_03260998,2,SGN2
,2017_SGN2_04150004,1,SGN2
,2017_SGN2_04080291,2,SGN2
,2017_SGN2_05240005,1,SGN2
,2017_SGN2_03250910,1,SGN2
,2017_SGN2_04300449,2,SGN2
,2017_SGN2_03240846,1,SGN2
,2017_SGN2_04120701,2,SGN2
,2017_SGN2_03240847,1,SGN2
,2017_SGN2_04160106,1,SGN2
,2017_SGN2_06060667,1,SGN2
,2017_SGN2_03120615,2,SGN2
,2017_SGN2_04140913,2,SGN2
,2017_SGN2_03290306,1,SGN2
,2017_SGN2_02120755,1,SGN2
,2017_SGN2_03150943,1,SGN2
,2017_SGN2_03310519,1,SGN2
,2017_SGN2_04150988,2,SGN2
,2017_SGN2_04130801,2,SGN2
,2017_SGN2_04100508,3,SGN2
,2017_SGN2_03290316,1,SGN2
,2017_SGN2_03150944,2,SGN2
,2017_SGN2_04060131,1,SGN2
,2017_SGN2_03150942,1,SGN2
,2017_SGN2_01300495,2,SGN2
,2017_SGN2_03110513,2,SGN2
,2017_SGN2_03270099,2,SGN2
,2017_SGN2_04300448,1,SGN2
,2017_SGN2_03270119,1,SGN2
,2017_SGN2_01280284,0,SGN2
,2017_SGN2_04280267,1,SGN2
,2017_SGN2_03290294,2,SGN2
,2017_SGN2_02210688,1,SGN2
,2017_SGN2_05270459,1,SGN2
,2017_SGN2_05040850,1,SGN2
,2017_SGN2_04240884,2,SGN2
,2017_SGN2_06020207,1,SGN2
,2017_SGN2_04150003,1,SGN2
,2017_SGN2_02030871,2,SGN2
,2017_SGN2_05230911,1,SGN2
,2017_SGN2_04280249,1,SGN2
,2017_SGN2_01260092,2,SGN2
,2017_SGN2_06020255,0,SGN2
,2017_SGN2_03140826,1,SGN2
,2017_SGN2_03240848,1,SGN2
,2017_SGN2_05260330,1,SGN2
,2017_SGN2_03240816,1,SGN2
,2017_SGN2_02060163,1,SGN2
,2017_SGN2_05310950,1,SGN2
,2017_SGN2_03300412,1,SGN2
,2017_SGN2_03180207,1,SGN2
,2017_SGN2_04250980,3,SGN2
,2017_SGN2_05230912,0,SGN2
,2017_SGN2_04280268,1,SGN2
,2017_SGN2_04220684,2,SGN2
,2017_SGN2_05080294,3,SGN2
,2017_SGN2_03290304,2,SGN2
,2017_SGN2_03260997,0,SGN2
,2017_SGN2_03150951,1,SGN2
,2017_SGN2_02130876,2,SGN2
,2017_SGN2_04150017,1,SGN2
,2017_SGN2_02180378,1,SGN2
,2017_SGN2_03260014,1,SGN2
,2017_SGN2_02100588,0,SGN2
,2017_SGN2_04090400,2,SGN2
,2017_SGN2_04010632,1,SGN2
,2017_SGN2_02180380,0,SGN2
,2017_SGN2_03260017,0,SGN2
,2017_SGN2_02100589,0,SGN2
,2017_SGN2_04090407,0,SGN2
,2017_SGN2_04010636,0,SGN2
,2017_SGN2_02180382,3,SGN2
,2017_SGN2_03260020,0,SGN2
,2017_SGN2_02100590,0,SGN2
,2017_SGN2_04090412,0,SGN2
,2017_SGN2_04010640,0,SGN2
,2017_SGN2_02180384,3,SGN2
