,cam,ImagePath,badImage,motion,grayscale
0,4.65730888408935e-310,0.0,0.0,0.0,2.37e-322
1,15,2017_SBU4_03040730,False,False,False
2,15,2017_SBU4_02060982,False,False,False
3,15,2017_SBU4_04210774,False,True,False
4,15,2017_SBU4_06300356,False,False,False
5,15,2017_SBU4_06180091,False,True,False
6,15,2017_SBU4_06210553,False,False,False
7,15,2017_SBU4_04100584,False,False,True
8,15,2017_SBU4_03080206,False,False,True
9,15,2017_SBU4_03050786,False,False,True
10,15,2017_SBU4_07030635,False,False,True
11,15,2017_SBU4_06180121,False,True,False
12,15,2017_SBU4_03290378,False,False,True
13,15,2017_SBU4_07060977,False,False,False
14,15,2017_SBU4_05060345,False,False,True
15,15,2017_SBU4_02120598,False,False,False
16,15,2017_SBU4_05270184,False,False,True
17,15,2017_SBU4_07030718,False,False,True
18,15,2017_SBU4_06040129,False,False,False
19,15,2017_SBU4_02080151,False,False,True
20,15,2017_SBU4_03150922,False,False,False
21,15,2017_SBU4_02240793,False,False,True
22,15,2017_SBU4_04150181,False,False,True
23,15,2017_SBU4_05300909,False,True,False
24,15,2017_SBU4_04050107,False,False,False
25,15,2017_SBU4_05020968,False,False,False
26,15,2017_SBU4_04010714,False,False,True
27,15,2017_SBU4_07170479,False,True,False
28,15,2017_SBU4_03010430,False,False,True
29,15,2017_SBU4_04120864,False,False,True
30,15,2017_SBU4_05180775,False,False,False
31,15,2017_SBU4_06290275,False,False,False
32,15,2017_SBU4_05310175,False,True,False
33,15,2017_SBU4_06270012,False,False,False
34,15,2017_SBU4_04210772,False,False,False
35,15,2017_SBU4_03260006,False,False,True
36,15,2017_SBU4_07100405,False,False,True
37,15,2017_SBU4_06300351,False,False,False
38,15,2017_SBU4_02180181,False,False,True
39,15,2017_SBU4_06260249,False,False,False
40,15,2017_SBU4_05140398,False,False,True
41,15,2017_SBU4_04170305,False,False,True
42,15,2017_SBU4_05260157,False,False,False
43,15,2017_SBU4_03190277,False,False,True
44,15,2017_SBU4_05100841,False,False,False
45,15,2017_SBU4_05270277,False,True,False
46,15,2017_SBU4_04070324,False,True,False
47,15,2017_SBU4_07150184,False,False,True
48,15,2017_SBU4_07020526,False,False,False
49,15,2017_SBU4_04170346,False,True,False
50,15,2017_SBU4_06040143,False,False,False
51,15,2017_SBU4_05040135,False,False,True
52,15,2017_SBU4_04300750,False,False,False
53,15,2017_SBU4_06270018,False,False,False
54,15,2017_SBU4_05110025,False,True,False
55,15,2017_SBU4_05040214,False,False,True
56,15,2017_SBU4_06280131,False,False,False
57,15,2017_SBU4_06250153,False,False,False
58,15,2017_SBU4_02210535,False,False,False
59,15,2017_SBU4_05270218,False,True,False
60,15,2017_SBU4_06130374,False,False,False
61,15,2017_SBU4_03250948,False,True,False
62,15,2017_SBU4_07080226,False,False,False
63,15,2017_SBU4_02070121,False,False,True
64,15,2017_SBU4_07030707,False,False,False
65,15,2017_SBU4_05190925,False,True,True
66,15,2017_SBU4_05240643,False,True,False
67,15,2017_SBU4_02060961,False,False,True
68,15,2017_SBU4_06100056,False,False,False
69,15,2017_SBU4_04280469,False,False,True
70,15,2017_SBU4_02180168,False,False,True
71,15,2017_SBU4_03310573,False,False,False
72,15,2017_SBU4_03020487,False,False,False
73,15,2017_SBU4_03300421,False,False,True
74,15,2017_SBU4_06290178,False,False,True
75,15,2017_SBU4_05260058,False,False,False
76,15,2017_SBU4_04170321,False,False,True
77,15,2017_SBU4_03120607,False,False,False
78,15,2017_SBU4_03110467,False,False,False
79,15,2017_SBU4_06300368,False,False,False
80,15,2017_SBU4_02240796,False,False,True
81,15,2017_SBU4_03230716,False,False,False
82,15,2017_SBU4_04040988,False,False,False
83,15,2017_SBU4_04190572,False,True,False
84,15,2017_SBU4_07010395,False,False,True
85,15,2017_SBU4_06080657,False,False,True
86,15,2017_SBU4_03270187,False,False,True
87,15,2017_SBU4_05170700,False,False,False
88,15,2017_SBU4_04170325,False,True,True
89,15,2017_SBU4_03230734,False,False,False
90,15,2017_SBU4_06170920,False,True,False
91,15,2017_SBU4_05130299,False,False,True
92,15,2017_SBU4_02250893,False,False,True
93,15,2017_SBU4_07110582,False,False,False
94,15,2017_SBU4_06170872,False,False,False
95,15,2017_SBU4_04050083,False,False,False
96,15,2017_SBU4_04110759,False,True,True
97,15,2017_SBU4_06090930,False,False,True
98,15,2017_SBU4_06200450,False,True,False
99,15,2017_SBU4_05190960,False,True,False
100,15,2017_SBU4_07160356,False,False,False
101,15,2017_SBU4_05240671,False,False,False
102,15,2017_SBU4_06100992,False,True,False
103,15,2017_SBU4_03230659,False,False,True
104,15,2017_SBU4_02160987,False,True,False
105,15,2017_SBU4_04210792,False,True,False
106,15,2017_SBU4_03260022,False,False,False
107,15,2017_SBU4_05260036,False,True,False
108,15,2017_SBU4_04060246,False,False,True
109,15,2017_SBU4_07120730,False,False,True
110,15,2017_SBU4_05010872,False,False,False
111,15,2017_SBU4_02200446,False,False,False
112,15,2017_SBU4_07110595,False,False,False
113,15,2017_SBU4_03240800,False,False,False
114,15,2017_SBU4_06070593,False,True,False
115,15,2017_SBU4_02240853,False,False,False
116,15,2017_SBU4_06030851,False,True,False
117,15,2017_SBU4_03070095,False,False,True
118,15,2017_SBU4_04150137,False,False,False
119,15,2017_SBU4_06030902,False,False,False
120,15,2017_SBU4_06020751,False,False,False
121,15,2017_SBU4_04190533,False,False,True
122,15,2017_SBU4_06110152,False,False,False
123,15,2017_SBU4_06230923,False,False,False
124,15,2017_SBU4_03030567,False,False,True
125,15,2017_SBU4_03210521,False,False,False
126,15,2017_SBU4_05290622,False,False,False
127,15,2017_SBU4_02250906,False,False,True
128,15,2017_SBU4_05130294,False,False,True
129,15,2017_SBU4_04260338,False,False,False
130,15,2017_SBU4_02130660,False,False,True
131,15,2017_SBU4_02040741,False,False,True
132,15,2017_SBU4_02120610,False,False,False
133,15,2017_SBU4_04100622,False,False,False
134,15,2017_SBU4_06220780,False,False,False
135,15,2017_SBU4_03270151,False,False,False
136,15,2017_SBU4_02070080,False,True,False
137,15,2017_SBU4_06010371,False,True,False
138,15,2017_SBU4_05010896,False,False,True
139,15,2017_SBU4_06070445,False,False,True
140,15,2017_SBU4_05300989,False,False,False
141,15,2017_SBU4_02180243,False,True,True
142,15,2017_SBU4_06190279,False,True,False
143,15,2017_SBU4_06010554,False,False,True
144,15,2017_SBU4_05110923,False,False,True
145,15,2017_SBU4_02030724,False,False,True
146,15,2017_SBU4_06070634,False,False,True
147,15,2017_SBU4_05270223,False,False,False
148,15,2017_SBU4_04290647,False,False,False
149,15,2017_SBU4_06010459,False,False,False
150,15,2017_SBU4_03090217,False,False,True
151,15,2017_SBU4_05060407,False,True,False
152,15,2017_SBU4_06290229,False,False,False
153,15,2017_SBU4_07140057,False,False,True
154,15,2017_SBU4_02240841,False,True,False
155,15,2017_SBU4_05130254,False,False,False
156,15,2017_SBU4_02160002,False,False,False
157,15,2017_SBU4_06070432,False,False,True
158,15,2017_SBU4_07100486,False,False,False
159,15,2017_SBU4_03310542,False,False,False
160,15,2017_SBU4_05140345,False,False,False
161,15,2017_SBU4_06230860,False,False,False
162,15,2017_SBU4_06130424,False,False,False
163,15,2017_SBU4_06110119,False,False,True
164,15,2017_SBU4_06280082,False,False,True
165,15,2017_SBU4_06140486,False,False,False
166,15,2017_SBU4_06010365,False,True,False
167,15,2017_SBU4_06090859,False,False,False
168,15,2017_SBU4_04260261,False,False,True
169,15,2017_SBU4_04130984,False,False,True
170,15,2017_SBU4_05020920,False,False,True
171,15,2017_SBU4_02060026,False,False,True
172,15,2017_SBU4_06230881,False,False,False
173,15,2017_SBU4_03210488,False,False,False
174,15,2017_SBU4_04020785,False,False,False
175,15,2017_SBU4_05260056,False,True,False
176,15,2017_SBU4_02220626,False,False,False
177,15,2017_SBU4_03030571,False,False,True
178,15,2017_SBU4_02030709,False,False,False
179,15,2017_SBU4_06210507,False,False,True
180,15,2017_SBU4_03200444,False,False,True
181,15,2017_SBU4_02140824,False,False,True
182,15,2017_SBU4_06300360,False,False,False
183,15,2017_SBU4_06190326,False,False,True
184,15,2017_SBU4_01270014,False,False,True
185,15,2017_SBU4_06010556,False,False,True
186,15,2017_SBU4_02030681,False,False,False
187,15,2017_SBU4_03090234,False,False,True
188,15,2017_SBU4_04010674,False,True,False
189,15,2017_SBU4_05060406,False,True,False
190,15,2017_SBU4_06010461,False,True,False
191,15,2017_SBU4_07150219,False,False,False
192,15,2017_SBU4_02240874,False,False,True
193,15,2017_SBU4_05100846,False,False,False
194,15,2017_SBU4_03010397,False,False,False
195,15,2017_SBU4_07100438,False,False,False
196,15,2017_SBU4_03030558,False,False,True
197,15,2017_SBU4_03100346,False,False,False
198,15,2017_SBU4_02190288,False,False,True
199,15,2017_SBU4_05260993,False,False,True
200,15,2017_SBU4_05300039,False,False,True
201,15,2017_SBU4_02010530,False,False,True
202,15,2017_SBU4_03250978,False,False,True
203,15,2017_SBU4_05040179,False,False,False
204,15,2017_SBU4_06150563,False,False,True
205,15,2017_SBU4_03110446,False,False,False
206,15,2017_SBU4_05240691,False,True,False
207,15,2017_SBU4_06130362,False,False,False
208,15,2017_SBU4_06090909,False,False,False
209,15,2017_SBU4_05110029,False,True,False
210,15,2017_SBU4_03220605,False,True,False
211,15,2017_SBU4_02230736,False,False,False
212,15,2017_SBU4_02210504,False,False,True
213,15,2017_SBU4_02190282,False,False,True
214,15,2017_SBU4_05120195,False,False,True
215,15,2017_SBU4_03280243,False,False,False
216,15,2017_SBU4_06190253,False,True,False
217,15,2017_SBU4_06020631,False,True,False
218,15,2017_SBU4_01310389,False,False,False
219,15,2017_SBU4_06240048,False,False,True
220,15,2017_SBU4_05130263,False,False,False
221,15,2017_SBU4_06170011,False,False,False
222,15,2017_SBU4_04170320,False,False,True
223,15,2017_SBU4_03090233,False,False,True
224,15,2017_SBU4_05070528,False,False,False
225,15,2017_SBU4_02280270,False,False,False
226,15,2017_SBU4_04100585,False,False,True
227,15,2017_SBU4_03040664,False,False,True
228,15,2017_SBU4_07020601,False,False,False
229,15,2017_SBU4_04270372,False,False,True
230,15,2017_SBU4_02070048,False,False,True
231,15,2017_SBU4_05210243,False,False,False
232,15,2017_SBU4_04300697,False,True,False
